Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD
Magmatic Galleon,R,R,2629,1.61,1895,1.57,10379,89.30%,59.70%,1655,65.60%,2483,66.00%,4138,65.80%,6148,55.60%,10.2pp
Pugnacious Hammerskull,G,R,2708,1.64,1464,1.6,7442,83.00%,58.20%,1374,66.50%,1784,62.00%,3158,64.00%,4231,53.80%,10.2pp
"Breeches, Eager Pillager",R,R,2399,1.48,1819,1.44,10169,90.40%,60.30%,1810,68.50%,2463,64.10%,4273,66.00%,5794,55.90%,10.0pp
Trumpeting Carnosaur,R,R,2164,1.3,1751,1.28,9484,89.00%,58.70%,1598,64.10%,2306,64.80%,3904,64.50%,5538,54.60%,10.0pp
Deep-Cavern Bat,B,U,17360,3.16,5507,3.67,27351,82.30%,57.20%,4819,66.50%,7027,60.20%,11846,62.70%,15409,52.90%,9.9pp
Thousand Moons Smithy,W,R,2488,1.48,1834,1.42,10385,91.10%,59.20%,1707,65.10%,2710,63.50%,4417,64.10%,5838,55.10%,9.0pp
Deepfathom Echo,UG,R,4038,2.64,1591,2.51,6072,64.80%,55.50%,1034,58.20%,1620,61.70%,2654,60.40%,3346,51.60%,8.7pp
Warden of the Inner Sky,W,R,2997,1.8,1819,1.78,9929,89.10%,59.50%,1816,65.60%,2395,63.10%,4211,64.20%,5712,55.90%,8.3pp
"Akal Pakal, First Among Equals",U,R,3183,1.92,2115,1.89,11606,89.80%,59.20%,1926,66.90%,3061,61.90%,4987,63.80%,6579,55.70%,8.2pp
Defossilize,B,U,22622,4.28,4208,5.44,16516,68.30%,53.30%,2642,56.10%,4342,58.80%,6984,57.80%,9425,49.80%,8.0pp
Resplendent Angel,W,M,1126,1.39,833,1.34,4433,87.70%,58.20%,774,61.00%,1128,63.90%,1902,62.70%,2535,54.80%,7.9pp
Subterranean Schooner,U,R,2941,1.85,1989,1.8,10682,89.30%,59.00%,1937,69.50%,2639,58.40%,4576,63.10%,5918,55.40%,7.7pp
Zoetic Glyph,U,U,20208,3.75,8636,3.97,45834,85.80%,61.00%,7604,67.00%,11708,64.20%,19312,65.30%,26185,57.70%,7.6pp
"Chimil, the Inner Sun",,M,955,1.14,854,1.14,4874,95.20%,57.80%,834,61.00%,1265,62.50%,2099,61.90%,2726,54.50%,7.4pp
Starving Revenant,B,R,2970,1.78,1519,1.76,7352,83.30%,54.40%,1278,57.00%,1974,59.30%,3252,58.40%,4071,51.00%,7.3pp
Chupacabra Echo,B,U,13942,2.51,5113,2.84,26119,86.90%,55.40%,4396,56.20%,6943,61.40%,11339,59.40%,14577,52.20%,7.2pp
"Ojer Pakpatiq, Deepest Epoch",U,M,1150,1.37,871,1.31,4471,86.80%,56.90%,757,60.60%,1233,60.60%,1990,60.60%,2446,53.50%,7.1pp
Poetic Ingenuity,R,R,3209,2.09,1669,2,7979,80.40%,56.70%,1379,64.00%,1852,58.50%,3231,60.90%,4718,53.80%,7.1pp
The Everflowing Well,U,R,4111,2.53,1645,2.62,7406,77.20%,57.20%,1241,61.20%,1962,60.70%,3203,60.90%,4058,53.90%,6.9pp
Souls of the Lost,B,R,3713,2.26,1170,2.33,5244,79.10%,53.20%,888,53.20%,1416,59.30%,2304,56.90%,2914,50.00%,6.9pp
Intrepid Paleontologist,G,R,2859,1.75,1378,1.71,6816,82.40%,56.60%,1265,63.00%,1543,58.40%,2808,60.50%,3950,53.70%,6.7pp
Abyssal Gorestalker,B,U,30007,6.03,3225,8.9,6298,33.60%,51.20%,974,52.50%,1636,56.50%,2610,55.00%,3660,48.50%,6.5pp
Bedrock Tortoise,G,R,2893,1.76,1429,1.69,6633,78.70%,56.20%,1118,61.80%,1630,58.80%,2748,60.00%,3846,53.50%,6.5pp
"Inti, Seneschal of the Sun",R,R,2529,1.54,1837,1.52,10155,90.30%,59.60%,1864,67.20%,2346,60.30%,4210,63.30%,5929,56.90%,6.4pp
Forgotten Monument,,U,33725,6.64,3843,9.59,8499,38.80%,50.30%,1480,51.00%,2340,55.50%,3820,53.70%,4604,47.30%,6.4pp
Bat Colony,W,U,30953,6.45,4208,8.89,6759,27.70%,51.20%,1160,52.80%,1666,55.90%,2826,54.60%,3849,48.30%,6.3pp
"Anim Pakal, Thousandth Moon",WR,R,2972,1.84,1908,1.76,9555,82.50%,58.30%,1613,62.70%,2323,61.30%,3936,61.90%,5614,55.70%,6.2pp
Spyglass Siren,U,U,17780,3.19,7761,3.56,43251,90.40%,60.30%,7714,66.90%,10613,61.20%,18327,63.60%,24241,57.60%,6.0pp
