"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"River Herald Guide","G","C","74485","5.57","10575","7.60","8342","82.4%","53.4%","1482","54.3%","2013","56.3%","3495","55.5%","4804","51.9%","3.5pp"
"Huatli's Final Strike","G","C","63359","4.49","10509","5.86","9293","90.5%","53.6%","1498","52.7%","2422","57.1%","3920","55.4%","5359","52.2%","3.2pp"
"Rampaging Spiketail","B","C","77886","5.81","9757","8.29","9311","86.4%","53.1%","1618","53.8%","2304","56.6%","3922","55.4%","5321","51.3%","4.1pp"
"Akawalli, the Seething Tower","BG","U","22452","4.40","3566","5.65","9397","98.6%","53.0%","1609","54.3%","2407","56.1%","4016","55.4%","5325","51.2%","4.2pp"
"Stinging Cave Crawler","B","U","19694","3.48","4096","4.36","4325","96.1%","53.4%","735","53.1%","1080","56.9%","1815","55.4%","2477","51.8%","3.5pp"
"Dead Weight","B","C","61248","4.32","12804","5.54","12411","96.7%","53.9%","2149","53.5%","3041","56.6%","5190","55.3%","7194","52.8%","2.5pp"
"Cavern Stomper","G","C","75596","5.76","8982","8.21","5522","69.9%","52.9%","870","52.8%","1360","56.9%","2230","55.3%","3251","51.1%","4.2pp"
"The Mycotyrant","BG","M","1620","2.00","601","1.93","1363","98.8%","50.7%","223","","356","","579","55.3%","771","47.2%","8.1pp"
"Malamet Battle Glyph","G","U","21063","3.75","4179","4.71","3621","89.8%","54.2%","586","52.9%","925","56.3%","1511","55.0%","2102","53.6%","1.4pp"
"Soulcoil Viper","B","U","23046","4.31","3952","5.55","4135","89.8%","53.3%","698","53.7%","969","55.7%","1667","54.9%","2447","52.0%","2.9pp"
"Explorer's Cache","G","U","27983","5.34","4179","7.16","1782","59.2%","52.4%","318","","421","","739","54.8%","1040","50.6%","4.2pp"
"Ray of Ruin","B","C","76503","5.81","9134","8.37","6940","72.8%","52.9%","1106","52.5%","1826","56.0%","2932","54.7%","3993","51.5%","3.2pp"
"Echo of Dusk","B","C","78796","5.93","9761","8.45","8685","82.7%","53.5%","1491","54.8%","2084","54.5%","3575","54.6%","5054","52.7%","2.0pp"
"Corpses of the Lost","B","R","3423","2.13","1618","2.10","1293","94.9%","51.2%","238","","311","","549","54.5%","739","48.7%","5.7pp"
"Skullcap Snail","B","C","72667","5.29","12431","7.06","10539","87.9%","52.9%","1900","53.2%","2484","54.9%","4384","54.2%","6090","52.0%","2.2pp"
"Hidden Nursery","","B","72351","6.01","8891","8.61","8611","98.7%","53.9%","1541","53.0%","2275","54.7%","3816","54.0%","4730","53.7%","0.3pp"
"Synapse Necromage","B","U","24369","4.44","4499","5.76","3019","84.3%","53.2%","544","52.2%","750","55.1%","1294","53.9%","1713","52.7%","1.1pp"
"Nurturing Bristleback","G","C","72560","5.35","9082","7.66","9204","88.5%","52.9%","1554","51.7%","2243","55.4%","3797","53.9%","5324","52.3%","1.6pp"
"Armored Kincaller","G","C","72779","5.40","10103","7.44","5491","70.2%","53.6%","910","51.8%","1397","55.2%","2307","53.8%","3138","53.4%","0.5pp"
"Fanatical Offering","B","C","80284","6.29","10891","8.78","5612","64.0%","51.5%","903","52.4%","1417","54.7%","2320","53.8%","3285","49.9%","3.9pp"
"Promising Vein","","B","73799","6.01","9748","8.64","3712","78.9%","52.3%","693","53.0%","921","54.4%","1614","53.8%","2077","51.2%","2.6pp"
