"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Thousand Moons Crackshot","W","C","90008","7.73","11128","10.95","2941","18.0%","55.0%","537","54.2%","665","53.5%","1202","53.8%","1734","55.8%","-1.9pp"
"Sage of Days","U","C","89679","8.00","12851","11.05","4110","21.2%","54.5%","653","53.6%","1017","53.8%","1670","53.7%","2427","55.1%","-1.4pp"
"Envoy of Okinec Ahau","W","C","82026","6.41","10486","9.33","8288","46.0%","55.0%","1401","52.1%","2099","54.7%","3500","53.7%","4753","55.9%","-2.2pp"
"Buried Treasure","","C","90073","7.28","9744","10.66","1359","15.9%","51.9%","271","","331","","602","52.5%","745","51.7%","0.8pp"
"Thousand Moons Infantry","W","C","90028","7.86","10116","11.47","2661","17.8%","53.7%","464","","654","52.4%","1118","52.2%","1536","54.9%","-2.6pp"
"Family Reunion","W","C","90860","8.22","9977","11.97","1496","10.2%","52.3%","238","","365","","603","52.1%","891","52.6%","-0.6pp"
"Marauding Brinefang","U","C","85697","6.90","11537","9.93","6156","36.5%","53.3%","1046","49.6%","1496","53.1%","2542","51.7%","3576","54.2%","-2.5pp"
"Song of Stupefaction","U","C","92230","8.85","11863","12.32","1440","8.8%","54.0%","240","","351","","591","51.4%","839","55.8%","-4.3pp"
"Abuelo's Awakening","W","R","6905","4.16","1242","5.38","1153","56.7%","54.8%","176","","293","","469","","681","55.7%",""
"Bat Colony","W","U","30953","6.45","4208","8.89","1025","21.9%","55.4%","182","","262","","444","","561","54.4%",""
"Fabrication Foundry","W","R","9429","5.50","1338","7.97","61","","","12","","16","","28","","31","",""
